269567687;41.21716;-8.558765;-0.1493786;0.7193751
269567683;41.21438;-8.560586;-0.1494104;0.7193266
269567670;41.22218;-8.557091;-0.1493494;0.7194628
269567671;41.22245;-8.556843;-0.1493451;0.7194675
269567682;41.21406;-8.561243;-0.1494219;0.719321
269567684;41.21486;-8.560027;-0.1494007;0.719335
269567452;41.20045;-8.574568;-0.1496544;0.7190834
269567685;41.21634;-8.558964;-0.1493821;0.7193609
269567464;41.20651;-8.567272;-0.1495271;0.7191893
269567466;41.20739;-8.567118;-0.1495244;0.7192046
269567463;41.20605;-8.56753;-0.1495316;0.7191812
269567449;41.19885;-8.575668;-0.1496736;0.7190557
269567450;41.19945;-8.575355;-0.1496682;0.719066
269567451;41.19979;-8.575083;-0.1496634;0.719072
269567453;41.20109;-8.57404;-0.1496452;0.7190947
269567454;41.20167;-8.57335;-0.1496332;0.7191048
269567688;41.21988;-8.558749;-0.1493784;0.7194226
269567668;41.22166;-8.558122;-0.1493674;0.7194537
269567667;41.22149;-8.558308;-0.1493706;0.7194508
269567669;41.222;-8.557437;-0.1493555;0.7194597
269567673;41.22383;-8.556036;-0.149331;0.7194917
269567674;41.22414;-8.55583;-0.1493274;0.7194969
269567675;41.22457;-8.555364;-0.1493193;0.7195044
269567731;41.22516;-8.554675;-0.1493073;0.7195147
269567732;41.22553;-8.554269;-0.1493002;0.7195212
269567672;41.2233;-8.556345;-0.1493364;0.7194824
269567686;41.21685;-8.558784;-0.149379;0.7193698
269567465;41.20697;-8.567146;-0.1495249;0.7191972
269567455;41.20192;-8.573029;-0.1496276;0.7191091
269567456;41.20279;-8.572049;-0.1496105;0.7191243
269567457;41.20292;-8.571904;-0.149608;0.7191266
269567458;41.20337;-8.571331;-0.1495979;0.7191344
269567459;41.20388;-8.570496;-0.1495834;0.7191434
269567460;41.20443;-8.569617;-0.149568;0.7191529
269567461;41.20517;-8.568416;-0.1495471;0.7191659
269567462;41.20567;-8.56786;-0.1495374;0.7191746
269567467;41.20798;-8.567128;-0.1495246;0.719215
269567469;41.20882;-8.567101;-0.1495241;0.7192296
269567470;41.2092;-8.56696;-0.1495217;0.7192363
269567471;41.20931;-8.56687;-0.1495201;0.7192382
269567472;41.20979;-8.566483;-0.1495133;0.7192464
269567473;41.21058;-8.565837;-0.1495021;0.7192603
269567677;41.21064;-8.565785;-0.1495012;0.7192613
269567679;41.21289;-8.563916;-0.1494685;0.7193007
269567680;41.21308;-8.563635;-0.1494636;0.719304
269567681;41.2135;-8.56261;-0.1494457;0.7193113
269567665;41.22069;-8.558612;-0.149376;0.7194367
269567666;41.22128;-8.558437;-0.1493729;0.7194471
447565526;41.21629;-8.57062;-0.1495855;0.7193599
447565523;41.21457;-8.571836;-0.1496067;0.71933
447565524;41.21474;-8.571722;-0.1496048;0.719333
447565506;41.21443;-8.571891;-0.1496077;0.7193274
278970270;41.22049;-8.558764;-0.1493786;0.7194333
278970272;41.22037;-8.55891;-0.1493812;0.7194311
278970386;41.22061;-8.558676;-0.1493771;0.7194354
278970906;41.2206;-8.558581;-0.1493754;0.7194352
278971117;41.22004;-8.558768;-0.1493787;0.7194253
278973129;41.22048;-8.560234;-0.1494043;0.7194331
278973429;41.22039;-8.560002;-0.1494002;0.7194315
278973430;41.22028;-8.559676;-0.1493945;0.7194297
278973431;41.22021;-8.559367;-0.1493891;0.7194284
278973433;41.22017;-8.559101;-0.1493845;0.7194276
278973622;41.22044;-8.559899;-0.1493984;0.7194325
278973635;41.22131;-8.562809;-0.1494492;0.7194476
278973623;41.22056;-8.560246;-0.1494045;0.7194345
278973843;41.22044;-8.556279;-0.1493353;0.7194324
278974126;41.22106;-8.560775;-0.1494137;0.7194432
278974127;41.22105;-8.560878;-0.1494155;0.719443
278974128;41.22099;-8.560946;-0.1494167;0.7194421
278974129;41.22089;-8.561024;-0.1494181;0.7194403
278974146;41.21883;-8.561401;-0.1494246;0.7194043
278974148;41.21848;-8.561839;-0.1494323;0.7193981
278974461;41.22132;-8.563269;-0.1494572;0.7194477
278974855;41.22159;-8.563418;-0.1494598;0.7194524
278974856;41.22153;-8.563315;-0.1494581;0.7194515
278974871;41.22165;-8.563564;-0.1494624;0.7194536
278974872;41.2215;-8.563401;-0.1494595;0.719451
278974935;41.22187;-8.56377;-0.149466;0.7194573
278975203;41.22224;-8.564062;-0.1494711;0.7194638
278975445;41.22279;-8.564277;-0.1494748;0.7194735
278975446;41.22262;-8.564225;-0.1494739;0.7194705
278975447;41.22244;-8.564157;-0.1494727;0.7194673
278976085;41.22456;-8.564792;-0.1494838;0.7195042
278976087;41.2233;-8.564414;-0.1494772;0.7194824
445082326;41.20453;-8.570963;-0.1495915;0.7191548
445082340;41.20703;-8.572977;-0.1496267;0.7191983
445082344;41.20706;-8.57197;-0.1496091;0.7191989
445082346;41.20589;-8.571168;-0.1495951;0.7191786
445082350;41.20688;-8.572887;-0.1496251;0.7191957
445082352;41.20672;-8.572412;-0.1496168;0.7191929
445082353;41.20657;-8.571842;-0.1496069;0.7191902
445082355;41.20648;-8.571682;-0.1496041;0.7191887
445082357;41.20639;-8.571579;-0.1496023;0.7191872
